Name,JAPAN-DS Market - TOT RETURN IND,JP OVERNIGHT UNCOLLATERISED CALL MONEY RATE (AVG.) NADJ
30/06/2005,540.27,0.004
29/07/2005,553.95,0.004
31/08/2005,584.39,0.004
30/09/2005,649.71,0.004
31/10/2005,664.58,0.004
30/11/2005,708.07,0.004
30/12/2005,763.82,0.004
31/01/2006,788.29,0.004
28/02/2006,764.67,0.004
31/03/2006,796.42,0.016
28/04/2006,789.25,0.0245
31/05/2006,726.82,0.0615
30/06/2006,730.01,0.0845
31/07/2006,721.37,0.2965
31/08/2006,751.6,0.3115
29/09/2006,742.29,0.306
31/10/2006,748.32,0.3045
30/11/2006,743.22,0.3045
29/12/2006,779.87,0.3295
31/01/2007,799.6,0.316
28/02/2007,813.2,0.575
30/03/2007,796.75,0.57
30/04/2007,790.66,0.5615
31/05/2007,814.71,0.558
29/06/2007,822.95,0.5545
31/07/2007,790.62,0.541
31/08/2007,749.08,0.593
28/09/2007,753.87,0.558
31/10/2007,759.86,0.538
30/11/2007,719.75,0.5695
31/12/2007,696.74,0.563
31/01/2008,633.15,0.5445
29/02/2008,624.79,0.5445
31/03/2008,575.21,0.5745
30/04/2008,638.84,0.575
30/05/2008,662.97,0.563
30/06/2008,622.95,0.5595
31/07/2008,615.91,0.5395
29/08/2008,596.41,0.5495
30/09/2008,517.6,0.5915
31/10/2008,415.38,0.5765
28/11/2008,403.27,0.446
31/12/2008,416.39,0.163
30/01/2009,386.14,0.198
27/02/2009,369.67,0.183
31/03/2009,377.05,0.1715
30/04/2009,407.15,0.1515
29/05/2009,436.13,0.153
30/06/2009,452.76,0.143
31/07/2009,464.49,0.133
31/08/2009,472.43,0.134
30/09/2009,448.71,0.123
30/10/2009,441.23,0.1215
30/11/2009,415.57,0.1315
31/12/2009,449.77,0.118
29/01/2010,447.2,0.1065
26/02/2010,443.94,0.112
31/03/2010,485.21,0.1105
30/04/2010,489.63,0.1145
31/05/2010,438.52,0.1145
30/06/2010,421.38,0.117
30/07/2010,425.53,0.113
31/08/2010,404.33,0.1135
30/09/2010,417.17,0.112
29/10/2010,408.53,0.1075
30/11/2010,434.02,0.113
31/12/2010,453.13,0.107
31/01/2011,459.49,0.1015
28/02/2011,480.42,0.1
31/03/2011,441.04,0.094
29/04/2011,434.82,0.0955
31/05/2011,430.13,0.0945
30/06/2011,435.8,0.0955
29/07/2011,432.67,0.0975
31/08/2011,399,0.0965
30/09/2011,396.48,0.0965
31/10/2011,398.41,0.0965
30/11/2011,380.65,0.0945
30/12/2011,382.31,0.091
31/01/2012,394.66,0.094
29/02/2012,435.87,0.0945
30/03/2012,447.41,0.091
30/04/2012,423.75,0.091
31/05/2012,381.71,0.0915
29/06/2012,408.19,0.0965
31/07/2012,393,0.095
31/08/2012,392.52,0.095
28/09/2012,396.29,0.093
31/10/2012,399.35,0.093
30/11/2012,420.16,0.093
31/12/2012,459.14,0.0925
31/01/2013,503.76,0.093
28/02/2013,524.91,0.0915
29/03/2013,560.15,0.063
30/04/2013,631.48,0.0705
31/05/2013,616.21,0.072
28/06/2013,615.72,0.078
31/07/2013,615.6,0.0755
30/08/2013,601.92,0.077
30/09/2013,651.33,0.055
31/10/2013,651.41,0.061
29/11/2013,686.82,0.058
31/12/2013,711.44,0.058
31/01/2014,670.15,0.0555
28/02/2014,667.04,0.055
31/03/2014,661.66,0.0375
30/04/2014,641.1,0.0515
30/05/2014,664.58,0.0545
30/06/2014,698.71,0.048
31/07/2014,715.07,0.0355
29/08/2014,708.91,0.0335
30/09/2014,735.15,0.012
31/10/2014,740.88,0.0155
28/11/2014,783.21,0.017
31/12/2014,783.61,0.025
30/01/2015,791.01,0.033
27/02/2015,851.09,0.0255
31/03/2015,864.16,0.02
30/04/2015,890.5,0.026
29/05/2015,934.96,0.027
30/06/2015,914.3,0.0225
31/07/2015,935.28,0.0175
31/08/2015,866.26,0.0205
30/09/2015,798.68,0.015
30/10/2015,881.18,0.0155
30/11/2015,897.95,0.0125
31/12/2015,882.05,0.012
29/01/2016,821.93,0
29/02/2016,749.89,-0.088
31/03/2016,780.17,-0.1165
29/04/2016,776.31,-0.133
31/05/2016,799.05,-0.118
30/06/2016,726.17,-0.121
29/07/2016,769.35,-0.1315
31/08/2016,770.15,-0.128
30/09/2016,768.48,-0.128
31/10/2016,807,-0.128
30/11/2016,848.11,-0.128
30/12/2016,879.03,-0.168
31/01/2017,880.28,-0.168
28/02/2017,888.77,-0.18
31/03/2017,878.55,-0.225
28/04/2017,889.84,-0.1915
31/05/2017,912.43,-0.1915
30/06/2017,936.31,-0.183
31/07/2017,940.56,-0.178
31/08/2017,941.15,-0.178
29/09/2017,973.2,-0.178
31/10/2017,1025.65,-0.178
30/11/2017,1045.11,-0.171
29/12/2017,1058.72,-0.148
31/01/2018,1073.47,-0.1445
28/02/2018,1035.89,-0.158
30/03/2018,1009.65,-0.1785
30/04/2018,1045.55,-0.203
31/05/2018,1030.79,-0.203
29/06/2018,1024.22,-0.203
31/07/2018,1037.29,-0.203
31/08/2018,1029.05,-0.203
28/09/2018,1078.05,-0.203
31/10/2018,980.53,-0.0015
30/11/2018,997.52,-0.0015
31/12/2018,898.33,-0.0015
31/01/2019,942.53,-0.0015
28/02/2019,968.55,-0.0015
29/03/2019,960.31,-0.0015
30/04/2019,978.74,-0.0015
31/05/2019,921.23,-0.0015
28/06/2019,944.5,-0.0015
31/07/2019,956.21,-0.0015
30/08/2019,928.75,-0.0015
30/09/2019,975.11,-0.0015
31/10/2019,1023.88,-0.0015
29/11/2019,1046.39,-0.0015
31/12/2019,1059.6,-0.0015
31/01/2020,1041.01,-0.0015
28/02/2020,940.07,-0.0015
31/03/2020,875.79,-0.0015
30/04/2020,915.77,-0.0015
29/05/2020,980.89,-0.0015
30/06/2020,980.94,-0.0015
31/07/2020,946.83,-0.0015
31/08/2020,1021.91,-0.0015
30/09/2020,1030.48,-0.0015
